01-dribbble-finance-infographic	Dribbble: Finance Infographic Search	https://dribbble.com/search/finance%20infographic	design-market-brief-references/screenshots/01-dribbble-finance-infographic.png	captured
02-dribbble-market-dashboard	Dribbble: Market Dashboard Tag	https://dribbble.com/tags/market-dashboard	design-market-brief-references/screenshots/02-dribbble-market-dashboard.png	captured
03-behance-finance-dashboard	Behance: Finance Dashboard UI/UX	https://www.behance.net/gallery/209401985/Finance-DashBoard-UIUX-Design	design-market-brief-references/screenshots/03-behance-finance-dashboard.png	captured
04-behance-analytics-card	Behance: Finance Dashboard Analytics Card UI	https://www.behance.net/gallery/233392033/Finance-Dashboard-Analytics-Card-UI	design-market-brief-references/screenshots/04-behance-analytics-card.png	captured
05-behance-horizon-dashboard	Behance: Horizon Digital Finance Dashboard	https://www.behance.net/gallery/180241495/Horizon-Digital-Finance-Dashboard-UI-Concept	design-market-brief-references/screenshots/05-behance-horizon-dashboard.png	captured
06-behance-stock-trading	Behance: Stock Trading Dashboard UI/UX	https://www.behance.net/gallery/236819273/Stock-Trading-Dashboard-UIUX-Design/modules/1361761501	design-market-brief-references/screenshots/06-behance-stock-trading.png	captured
07-behance-neon-infographic	Behance: Futuristic Neon Graph Infographic	https://www.behance.net/gallery/102408427/Modern-futuristic-neon-template-graph-infographic	design-market-brief-references/screenshots/07-behance-neon-infographic.png	captured
08-awwwards-bequant	Awwwards: Bequant Data Visualization	https://www.awwwards.com/sites/bequant	design-market-brief-references/screenshots/08-awwwards-bequant.png	captured
09-lapa-fintech	Lapa Ninja: Fintech Landing Page Gallery	https://www.lapa.ninja/category/fintech/	design-market-brief-references/screenshots/09-lapa-fintech.png	captured
10-refero-fintech-styles	Refero Styles: Fintech Website Design Examples	https://styles.refero.design/design-styles/fintech-websites	design-market-brief-references/screenshots/10-refero-fintech-styles.png	captured
